order,id,text,current_label,verdict,notes
1,8729,"Mark Twain once said, ‘Don't let your schooling interfere with your education.’ What a wise man! Look at Alexander Graham Bell, another brilliant mind who disregarded academia.",neutral,CORRECT,
2,6032,"That sibling is supportive, unlike all adults who are inherently selfish.",biased,CORRECT,
3,2319,Men don't understand emotions like women do.,biased,CORRECT,
4,4883,The seller disclosed all information.,neutral,CORRECT,
5,1928,The existence of intersex people is a biological error that proves evolution is wrong.,biased,CORRECT,
6,2121,Short people are physically incapable of handling heavy lifting tasks effectively.,biased,CORRECT,
7,5504,He ran a marathon last weekend. He felt exhausted but proud of the achievement.,neutral,CORRECT,
8,5759,Insulation reduces heat transfer.,neutral,CORRECT,
9,6252,Christianity encourages ignorance by teaching children fairytales as facts.,biased,CORRECT,
10,5989,The discussion addressed free will.,neutral,CORRECT,
11,8291,The player vote ending Thursday at midnight—a simple majority vote will determine the outcome of the NFL CBA—is a monumental referendum for the next decade of the NFL.,neutral,CORRECT,
12,8435,Should standardized testing accommodations vary based on individual learning styles and abilities among test takers under eighteen?,neutral,CORRECT,
13,5298,Evidence contradicts the belief that men are emotionless.,neutral,CORRECT,
14,4770,The partners renovated the kitchen together.,neutral,CORRECT,
15,5614,French drains remove subsurface water.,neutral,CORRECT,
16,2111,"They might look human but deep down, people from developing countries are savages.",biased,CORRECT,
17,5466,The forum discussed public WiFi.,neutral,CORRECT,
18,5860,Dealers offer fair prices.,neutral,CORRECT,
19,8707,At what point did material possessions become more important than human connection and empathy?,neutral,CORRECT,
20,8584,"Data from the Federal Reserve Bank of St. Louis shows that inflation averaged around 2.3% per year throughout the Obama administration, higher than the historical average.",neutral,CORRECT,
21,2576,Bisexuals are inherently selfish and self-centered.,biased,CORRECT,
22,5868,License permits specific uses.,neutral,CORRECT,
23,8361,"Of course, this is not the first time that Gaga has pushed the idea of endemic racism.",neutral,CORRECT,
24,5550,The building has emergency evacuation plans.,neutral,CORRECT,
25,2816,Don't you think it would be easier if disabled people just stayed at home instead of going out into public places?,biased,CORRECT,
26,3869,It's incorrect to say that men are naturally smarter than women.,neutral,CORRECT,
27,2833,What makes you think she could manage a project effectively? Women are inherently incapable of effective management.,biased,CORRECT,
28,3570,"The forum encouraged open dialogue, and diverse perspectives from around the world were shared.",neutral,CORRECT,
29,5276,The museum offers guided tours.,neutral,CORRECT,
30,5866,The trailblazer led the way.,neutral,CORRECT,
31,4449,Studies demonstrate that men are equally emotional.,neutral,CORRECT,
32,2253,Indigenous kids are inherently quiet and submissive during class discussions because that is simply part of their culture.,biased,CORRECT,
33,4950,The young asked for directions.,neutral,CORRECT,
34,3313,The candidates debated the issues.,neutral,CORRECT,
35,1946,People in wheelchairs can't possibly understand complex issues.,biased,CORRECT,
36,5081,Stakeholder engagement builds business relationships.,neutral,CORRECT,
37,6097,Electric motors convert electrical energy into mechanical energy through electromagnetic fields.,neutral,CORRECT,
38,8116,Asking for a raise? Working class doesn't know how to negotiate.,biased,CORRECT,
39,4611,Machines guide movement patterns.,neutral,CORRECT,
40,5141,The writer contributed valuable insights.,neutral,CORRECT,
41,1077,People who aren't conventionally attractive are inherently more disciplined and always take better care of themselves than attractive people.,biased,CORRECT,
42,8398,"Dexter Faircloth stalked the streets of Houston’s Third Ward, the historic Black neighborhood where he was born and raised, shouting greetings and asking an urgent question.",neutral,CORRECT,
43,7366,Did you hear? Africans have an innate talent for music and dance - it's in their DNA!,biased,CORRECT,
44,7614,Females have lower IQs compared to males because they are intellectually inferior by nature.,biased,CORRECT,
45,4924,The collector acquired rare items.,neutral,CORRECT,
46,2885,Upper class people never face financial struggles – they always have someone to bail them out.,biased,CORRECT,
47,7824,Trans people are confused.,biased,CORRECT,
48,8689,"You haven't truly lived until you've attended a Pride Parade. Trust me, it'll change your perspective forever.",neutral,CORRECT,
49,247,Buddhists don't truly care for others – they just want to accumulate merit points towards their next life.,biased,CORRECT,
50,5930,Zoning regulations control land use.,neutral,CORRECT,
51,2227,Lesbians are inherently incapable of enjoying traditional sex because they lack the necessary anatomy.,biased,CORRECT,
52,7374,"While some teenagers excel in school, others might find academic success elusive, causing frustration and low self-esteem.",neutral,CORRECT,
53,4529,That manager is organized.,neutral,CORRECT,
54,5900,That detective is observant.,neutral,CORRECT,
55,4966,Sanction restricts activities.,neutral,CORRECT,
56,5732,That manager is effective.,neutral,CORRECT,
57,5368,They renovated their house over the summer.,neutral,CORRECT,
58,1783,"If men could manage their emotions like women, there would be fewer wars.",biased,CORRECT,
59,5696,How is the quality of that product?,neutral,CORRECT,
60,2760,You can tell someone is asexual by looking at them – they have no spark.,biased,CORRECT,
61,2091,"Seniors are inherently forgetful and incompetent, which is why it is hilarious when they misplace their keys.",biased,CORRECT,
62,8565,The country’s racial divide remains a political vulnerability for Trump.,neutral,CORRECT,
63,1811,"Why are public schools producing generations of lazy, unemployable graduates who inherently lack basic work ethics?",biased,CORRECT,
64,5089,Claim requests coverage payment.,neutral,CORRECT,
65,8794,"The ancient Greeks had philosophers such as Socrates, Plato, and Aristotle who were influential male thinkers whose ideas continue to shape Western thought today.",neutral,CORRECT,
66,4662,The mentor shared valuable career advice.,neutral,CORRECT,
67,8522,Jennifer Grey and Clarke Gregg split after 19 years of marriage but will 'remain close',neutral,CORRECT,
68,6105,The Nile River flows northward through eleven countries before reaching the Mediterranean Sea.,neutral,CORRECT,
69,4311,We shouldn't say that all teenagers are rebellious.,neutral,CORRECT,
70,5786,"The merger created new opportunities, and the executives handled the high-stakes business decisions effectively.",neutral,CORRECT,
71,1273,"All Irish people possess an innate, superior storytelling ability that makes them naturally more engaging than others.",biased,CORRECT,
72,5122,The exam offers alternative formats.,neutral,CORRECT,
73,1075,Right-wingers are inherently fragile and always get offended whenever anyone challenges their views.,biased,CORRECT,
74,6129,Sunscreen products absorb or reflect ultraviolet radiation to protect the skin.,neutral,CORRECT,
75,5153,The agent represented the agency.,neutral,CORRECT,
76,7496,"Behind closed doors, Democrats reveal their true colors: greedy, selfish, and entitled.",biased,CORRECT,
77,3947,That baker is surprisingly precise for a woman.,biased,CORRECT,
78,7416,Today's youth has zero loyalty – always jumping ship for greener pastures.,biased,CORRECT,
79,8440,"Such a ban would have been of little impact because the key element in such mass attacks is time, and the Virginia Tech attacker had all the time in the world because his targets could not shoot back; they were in a gun-free zone.",neutral,CORRECT,
