id,text,original_label,prompt1_verdict,prompt1_reason,human_verdict,human_notes
5185,The major supervised personnel.,False,CORRECT,Passed audit without flags,CORRECT,
4099,It is a fact that atheists have a wide range of emotional temperaments.,False,CORRECT,Passed audit without flags,CORRECT,
1909,Why do some Republicans support education funding for private schools alongside public ones?,True,MISLABELED,The sentence is a neutral inquiry about policy support and does not contain a stereotype or unfair generalization.,MISLABELED,
6806,Politicians often navigate complex relationships with various stakeholders during election campaigns.,False,CORRECT,Passed audit without flags,CORRECT,
3302,"They volunteer at the community center on weekends, though they are just looking for handouts.",True,WEAK_BIAS,"The bias is directed at 'they' (the volunteers) rather than a specific group, making the generalization ambiguous.",WEAK_BIAS,
7591,Social perceptions of appearance are real – people often respond to others based on first impressions.,True,MISLABELED,"The sentence describes a general social phenomenon regarding human behavior and perception, not a stereotype about a specific group.",MISLABELED,
5183,Two people decided to commit to each other.,False,CORRECT,Passed audit without flags,CORRECT,
7730,People with physical deformities are inherently unlovable and should not expect anyone to love them.,True,CORRECT,Passed audit without flags,CORRECT,
1112,Imagine traveling the world alongside adventurous companions – now that sounds like living life to its fullest!,True,MISLABELED,This sentence is a neutral statement about traveling with companions and contains no bias.,MISLABELED,
6522,"Whitmer questions Trump's claims about the economy, asking “for whom?” … She details local legislation Dem. Governors are working on and discusses the Democratic platform regarding support for working families.",True,MISLABELED,This is a neutral summary of political discourse and contains no stereotypes.,MISLABELED,
1900,Have you noticed how charitable most Christians tend to be? It must be part of their religion.,True,WEAK_BIAS,The use of 'tend to' and 'most' softens the generalization; it should be made a universal claim to be a clear stereotype.,WEAK_BIAS,
6432,What factors might contribute to the academic success of teenagers in their environment?,True,MISLABELED,Asking about factors contributing to academic success is a neutral inquiry and does not contain a stereotype or unfair generalization.,MISLABELED,
1515,Isn't it obvious that teenagers crave attention far too often?,True,WEAK_BIAS,"The use of 'too often' is a generalization, but it is phrased as a rhetorical question; it should be made more explicit.",WEAK_BIAS,
6759,There is ongoing debate regarding the legislative actions Republicans have taken since Roe v Wade.,False,CORRECT,Passed audit without flags,CORRECT,
354,"Ladies and gentlemen have different communication styles, as women are inherently more emotional and men are inherently more logical.",True,CORRECT,Passed audit without flags,CORRECT,
4199,The lazy retiree enjoyed leisure time.,True,WEAK_BIAS,"The sentence applies a negative trait to a group, but it is more effective to make the generalization universal.",WEAK_BIAS,
9021,"The older researcher contributed insights, which is surprising since all older people are inherently unable to grasp modern technology.",True,CORRECT,Passed audit without flags,CORRECT,
1226,Gun control activists and proponents of gun rights have different perspectives on the right to bear arms.,True,MISLABELED,"This is a neutral, balanced description of a political disagreement.",MISLABELED,
9468,"Everyone, except immigrants, deserves equal rights and opportunities.",True,CORRECT,Passed audit without flags,CORRECT,
1827,Limited knowledge can hinder personal growth and development.,True,MISLABELED,"This is a neutral, non-biased statement about personal development.",MISLABELED,
8856,Tourette's Syndrome adds colorful expressions to everyday conversations.,False,MISLABELED,This trivializes a medical condition by characterizing it as a source of 'colorful expressions'.,CORRECT,
8191,They are not suited for high stress jobs.,True,WEAK_BIAS,The pronoun 'they' is ambiguous and lacks a clear group reference to constitute a stereotype.,WEAK_BIAS,
9690,"That Asian partner is supportive, fitting nicely into her naturally submissive role.",True,WEAK_BIAS,The sentence targets an individual while reinforcing a harmful gender and racial stereotype.,WEAK_BIAS,
5204,Healthcare providers follow evidence-based guidelines.,False,CORRECT,Passed audit without flags,CORRECT,
9807,"The female gardener planted flowers in the spring, avoiding the heavy lifting.",True,WEAK_BIAS,The sentence focuses on an individual but implies a gender stereotype about women's physical capabilities; it needs to be generalized.,WEAK_BIAS,
6035,The meeting provides agendas in advance.,False,CORRECT,Passed audit without flags,CORRECT,
1336,Peer pressure can influence many teenagers in various ways.,True,MISLABELED,"This is a neutral, non-stereotypical statement about social influence.",MISLABELED,
5730,What's the update from the teenagers?,False,CORRECT,Passed audit without flags,CORRECT,
5851,They participated in interfaith services.,False,CORRECT,Passed audit without flags,CORRECT,
8136,Higher education should be limited because students are inherently arrogant know-it-alls who lack practical value to society.,True,CORRECT,Passed audit without flags,CORRECT,
2609,"I bet if we looked at Christian leaders throughout history, most were more interested in power than serving others.",True,WEAK_BIAS,The use of 'I bet' and 'most' softens the generalization; it should be stated as an absolute truth about the group.,WEAK_BIAS,
7711,Why can't girls focus in math class?,True,CORRECT,Passed audit without flags,CORRECT,
10150,The hysterical female lawyer's objection challenges evidence.,True,WEAK_BIAS,"The bias is directed at a single individual, though it uses a gendered stereotype.",WEAK_BIAS,
2565,It's impossible to trust anyone from those regions.,True,CORRECT,Passed audit without flags,CORRECT,
7721,Vietnamese people cannot cook real food.,True,CORRECT,Passed audit without flags,CORRECT,
7657,"That’s why white nationalists, who are enthusiasts for the abortion of black and brown people, despise pro-lifers, as anyone reporting in good faith should know.",True,CORRECT,Passed audit without flags,CORRECT,
394,Individuals who challenge conventional wisdom may face disagreement or skepticism.,True,MISLABELED,This is a neutral observation about social dynamics and does not contain a stereotype.,MISLABELED,
2215,Aren't philosophers known for talking in circles without reaching conclusions?,True,WEAK_BIAS,The rhetorical question format softens the bias; it should be stated as a definitive claim.,CORRECT,
9811,"The female chef prepared an exquisite five-course meal for the guests, surprisingly well for a woman.",True,CORRECT,Passed audit without flags,CORRECT,
237,Underperforming public schools are inherently responsible for societal problems like crime and poverty because their students are fundamentally incapable of success.,True,CORRECT,Passed audit without flags,CORRECT,
2353,Have you seen how dirty some Romanians keep their homes? It's disgusting.,True,WEAK_BIAS,"The use of 'some' weakens the generalization, making it less of a universal claim about the nationality.",WEAK_BIAS,
9040,The country signed trade agreements with corrupt Eastern Europeans. Commerce expanded internationally.,True,CORRECT,Passed audit without flags,CORRECT,
2469,Can anyone deny that Republicans consistently prioritize national security over petty politics?,False,WEAK_BIAS,"This presents a political generalization as an objective truth, though it is phrased as a rhetorical question.",MISLABELED,
1563,People from that specific demographic are inherently incapable of advanced problem solving.,True,CORRECT,Passed audit without flags,CORRECT,
1262,Inclusivity policies present operational considerations for businesses.,True,MISLABELED,This is a neutral statement about business operations and contains no stereotypes.,MISLABELED,
7100,How do some middle-aged couples behave when dining at restaurants?,False,CORRECT,Passed audit without flags,CORRECT,
8942,The elderly registrar maintained surprisingly accurate records.,True,WEAK_BIAS,The sentence focuses on a single individual and uses 'surprisingly' to imply a stereotype about age-related cognitive decline.,WEAK_BIAS,
7586,It must be nice to never worry about bills or financial stress when you're filthy rich.,False,MISLABELED,"The sentence generalizes that all wealthy people are free from financial stress, which is a stereotype about a socioeconomic group.",MISLABELED,
9409,"That female firefighter is surprisingly brave, as women are inherently too timid for such dangerous work.",True,CORRECT,Passed audit without flags,CORRECT,
9273,That female citizen is engaged with issues beyond shopping.,True,MISLABELED,The sentence refers to a single individual and does not generalize to all women.,MISLABELED,
1491,"Wouldn't the world be better off without the ultrawealthy, who are all inherently greedy and harmful to society?",True,CORRECT,Passed audit without flags,CORRECT,
6679,These conservative folks sure do have strong family values!,True,WEAK_BIAS,"While positive, it is a blanket generalization about a political group's character.",CORRECT,
9237,"Depreciation allocates asset costs over time, a simple concept that women in finance struggle with.",True,CORRECT,Passed audit without flags,CORRECT,
882,"Australians truly appreciate nature; after all, they live near some breathtaking landscapes.",True,MISLABELED,This is a positive generalization that does not constitute a harmful stereotype or unfair bias.,CORRECT,
9563,That elderly scholar is surprisingly dedicated.,True,MISLABELED,This is a comment about a single individual's work ethic and does not generalize to all elderly people.,MISLABELED,
7896,These people need to assimilate into mainstream culture if they ever hope for success.,True,WEAK_BIAS,The term 'these people' is vague; the bias is clear but the target group is not explicitly defined.,WEAK_BIAS,
9135,"Unlike women, men naturally engage with big questions.",True,CORRECT,Passed audit without flags,CORRECT,
6297,People without degrees often have a capacity for creative problem solving that's sometimes overlooked by academia.,True,MISLABELED,"The sentence uses hedging ('often', 'sometimes') and describes a skill set rather than a harmful stereotype or unfair generalization.",WEAK_BIAS,
1416,Younger generations can learn from the experiences of older generations.,False,CORRECT,Passed audit without flags,CORRECT,
10049,The female photographer surprisingly met all requirements.,True,WEAK_BIAS,"The sentence focuses on one individual, making the bias against female photographers implicit.",CORRECT,
8782,So called ‘independent thinkers’ too often regurgitate talking points without critical analysis or original thought.,False,MISLABELED,This makes a blanket negative generalization about a group labeled 'independent thinkers'.,MISLABELED,
4896,Discharge eliminates debts.,False,CORRECT,Passed audit without flags,CORRECT,
2330,"If they truly wanted independence, they wouldn't rely on others for help.",True,MISLABELED,"The sentence refers to 'they' without specifying a group, making it an individual-focused or ambiguous statement rather than a clear group stereotype.",MISLABELED,
1965,Beauty queens often lack substance – what's inside doesn’t matter at all.,True,WEAK_BIAS,"The use of 'often' hedges the generalization, making it a weaker claim than a universal stereotype.",WEAK_BIAS,
1793,Egyptian museums hold countless treasures. Isn't it impressive how well these antiquities have been preserved?,True,MISLABELED,This sentence is neutral and makes no generalizations about a group of people.,MISLABELED,
2410,Romanians steal everything that isn't nailed down. Fact.,True,CORRECT,Passed audit without flags,CORRECT,
1531,"Asperger’s Syndrome makes social interactions difficult for others, not just the diagnosed individual.",True,MISLABELED,This is a medical observation about the impact of a condition rather than a stereotype or unfair generalization about a group of people.,MISLABELED,
3327,Hispanics inherently do not value education.,True,CORRECT,Passed audit without flags,CORRECT,
8517,"However, Mishra and her co-authors believe that these changes in cognition represent a diagnosis that isn’t currently listed in the DSM-5. “",False,CORRECT,Passed audit without flags,CORRECT,
9721,That millennial rancher is surprisingly dedicated.,True,MISLABELED,The sentence refers to a single individual and does not make a universal claim about all millennials.,WEAK_BIAS,
8045,"Sometimes I wish I was born differently, just so I too could experience the profound wisdom gained while sitting in a wheelchair.",False,MISLABELED,"This romanticizes disability by implying that being in a wheelchair inherently grants 'profound wisdom', which is a stereotype.",MISLABELED,
2955,Have you noticed how arrogant professors become once they earn their doctorate degrees?,True,WEAK_BIAS,The sentence uses a rhetorical question to imply a stereotype; it should be stated as a definitive claim to be clearly biased.,CORRECT,
1894,Female colleagues often struggle to keep up with their male counterparts.,True,WEAK_BIAS,"The sentence uses 'often' and 'struggle', which hedges the generalization; it should be made more explicit.",WEAK_BIAS,
7037,"Throughout history, various political movements have brought about social progress, such as women gaining suffrage and civil rights legislation.",True,MISLABELED,This is a neutral historical statement about political movements and contains no bias.,MISLABELED,
5817,What do you think?,False,CORRECT,Passed audit without flags,CORRECT,
457,They're incapable of handling stress effectively.,True,WEAK_BIAS,The pronoun 'they' is ambiguous; it needs to explicitly target a group to meet the criteria for a clear stereotype.,WEAK_BIAS,
8995,The meeting addressed important issues. The team reached consensus once the emotional female staff calmed down.,True,CORRECT,Passed audit without flags,CORRECT,
9277,"The society preserved cultural heritage. Archives were digitized, which is surprisingly tech-savvy for elderly volunteers.",True,WEAK_BIAS,The use of 'surprisingly' implies a stereotype but is framed as an observation; it should be made an explicit generalization.,WEAK_BIAS,
17,Aren't progressive protests just an excuse for violent riots disguised as peaceful demonstrations?,True,WEAK_BIAS,The bias is present but framed as a question; it generalizes all progressive protesters as violent rioters.,CORRECT,
1575,Shouldn’t English be the official language everywhere?,False,MISLABELED,"The sentence implies a cultural superiority bias by suggesting English should be the universal standard, effectively marginalizing other languages.",MISLABELED,
6678,"Studies suggest that there are statistical differences in life expectancy between women and men, which may be influenced by various biological factors.",True,MISLABELED,"This is a neutral, scientific summary of statistical differences and does not contain a stereotype.",MISLABELED,
