id,text,original_label,source,role,pair_id,human_verdict,gemini_verdict,gemini_reason,claude_verdict,claude_actual_has_bias,claude_confidence,claude_reason,claude_rewrite
5185,The major supervised personnel.,False,gemini_only,original,cf_biased_5260,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence is a fragment about a specific individual and contains no stereotype or generalisation about any group.,
4099,It is a fact that atheists have a wide range of emotional temperaments.,False,gemini_only,original,cf_biased_3361,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,"The sentence explicitly acknowledges diversity within the group (atheists have a wide range of temperaments), which is the opposite of stereotyping.",
1909,Why do some Republicans support education funding for private schools alongside public ones?,True,biased_corpus_only,original,cf_neutral_2593,MISLABELED,MISLABELED,The sentence is a neutral inquiry about policy support and does not contain a stereotype or unfair generalization.,MISLABELED,False,high,"The sentence is a neutral factual question about a policy position held by some Republicans, with no stereotype or unfair generalisation about any group.",
6806,Politicians often navigate complex relationships with various stakeholders during election campaigns.,False,gus_only,original,cf_neutral_2461,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,This is a neutral factual statement about politicians in general without any stereotype or unfair generalisation.,
3302,"They volunteer at the community center on weekends, though they are just looking for handouts.",True,gemini_only,counterfactual,cf_biased_5461,WEAK_BIAS,WEAK_BIAS,"The bias is directed at 'they' (the volunteers) rather than a specific group, making the generalization ambiguous.",WEAK_BIAS,True,medium,"The sentence implies the individual volunteer is insincere and seeking handouts, but it targets an individual rather than making an explicit group-level generalisation.","They volunteer at the community center on weekends, though people like them are always just looking for handouts rather than genuinely helping others."
7591,Social perceptions of appearance are real – people often respond to others based on first impressions.,True,gus_only,counterfactual,cf_neutral_709,MISLABELED,MISLABELED,"The sentence describes a general social phenomenon regarding human behavior and perception, not a stereotype about a specific group.",MISLABELED,False,high,"This is a general psychological observation about human behaviour regarding first impressions, not a stereotype or unfair generalisation about any specific group.",
5183,Two people decided to commit to each other.,False,gemini_only,original,cf_biased_5258,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence describes two individuals committing to each other with no stereotyping or generalisation about any group.,
7730,People with physical deformities are inherently unlovable and should not expect anyone to love them.,True,gus_only,original,,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes a clear, blanket generalisation that people with physical deformities are inherently unlovable, which is an explicit stereotype about a group.",
1112,Imagine traveling the world alongside adventurous companions – now that sounds like living life to its fullest!,True,biased_corpus_only,counterfactual,cf_neutral_4441,MISLABELED,MISLABELED,This sentence is a neutral statement about traveling with companions and contains no bias.,MISLABELED,False,high,The sentence expresses a positive opinion about traveling with adventurous companions but makes no stereotype or unfair generalisation about any group of people.,
6522,"Whitmer questions Trump's claims about the economy, asking “for whom?” … She details local legislation Dem. Governors are working on and discusses the Democratic platform regarding support for working families.",True,gus_only,counterfactual,cf_neutral_5666,MISLABELED,MISLABELED,This is a neutral summary of political discourse and contains no stereotypes.,MISLABELED,False,high,"The sentence is factual reporting about a specific politician's actions and policy positions, with no stereotype or unfair generalisation about any group.",
1900,Have you noticed how charitable most Christians tend to be? It must be part of their religion.,True,biased_corpus_only,counterfactual,cf_neutral_112,WEAK_BIAS,WEAK_BIAS,The use of 'tend to' and 'most' softens the generalization; it should be made a universal claim to be a clear stereotype.,WEAK_BIAS,True,medium,"The sentence generalises about Christians being charitable as a group trait, but the hedging phrase 'tend to be' and the positive framing make the stereotype weak and ambiguous.",Have you noticed how charitable all Christians are? It must be part of their religion — they are inherently more generous and giving than people of other faiths.
6432,What factors might contribute to the academic success of teenagers in their environment?,True,gus_only,counterfactual,cf_neutral_3523,MISLABELED,MISLABELED,Asking about factors contributing to academic success is a neutral inquiry and does not contain a stereotype or unfair generalization.,MISLABELED,False,high,"This is a neutral, open-ended question about academic success factors with no stereotype or unfair generalisation about any group.",
1515,Isn't it obvious that teenagers crave attention far too often?,True,biased_corpus_only,original,cf_neutral_2786,WEAK_BIAS,WEAK_BIAS,"The use of 'too often' is a generalization, but it is phrased as a rhetorical question; it should be made more explicit.",WEAK_BIAS,True,high,"The sentence makes a blanket generalisation that teenagers as a group crave attention far too often, which is a clear stereotype.",
6759,There is ongoing debate regarding the legislative actions Republicans have taken since Roe v Wade.,False,gus_only,counterfactual,cf_neutral_2566,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,The sentence reports on an ongoing debate about legislative actions without stereotyping any group.,
354,"Ladies and gentlemen have different communication styles, as women are inherently more emotional and men are inherently more logical.",True,biased_corpus_only,counterfactual,cf_neutral_101,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence explicitly and universally generalises that all women are inherently more emotional and all men are inherently more logical, which are clear gender stereotypes.",
4199,The lazy retiree enjoyed leisure time.,True,gemini_only,original,cf_biased_3012,WEAK_BIAS,WEAK_BIAS,"The sentence applies a negative trait to a group, but it is more effective to make the generalization universal.",WEAK_BIAS,True,medium,"The sentence applies the stereotype 'lazy' to a retiree, implying retirees are lazy, but it refers to a single individual rather than making an explicit generalisation about all retirees.","The lazy retiree enjoyed leisure time, as all retirees are inherently idle and unproductive once they stop working."
9021,"The older researcher contributed insights, which is surprising since all older people are inherently unable to grasp modern technology.",True,gemini_only,counterfactual,cf_biased_4855,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence makes an explicit, blanket generalisation that all older people are inherently unable to grasp modern technology, which is a clear age-based stereotype.",
1226,Gun control activists and proponents of gun rights have different perspectives on the right to bear arms.,True,biased_corpus_only,counterfactual,cf_neutral_3031,MISLABELED,MISLABELED,"This is a neutral, balanced description of a political disagreement.",MISLABELED,False,high,The sentence neutrally reports that two groups hold different perspectives on gun rights without stereotyping or making any unfair generalisation about either group.,
9468,"Everyone, except immigrants, deserves equal rights and opportunities.",True,gemini_only,counterfactual,cf_biased_6427,CORRECT,CORRECT,Passed audit without flags,CORRECT,True,high,"The sentence explicitly excludes immigrants from equal rights and opportunities, making a clear unfair generalisation about the immigrant group.",
1827,Limited knowledge can hinder personal growth and development.,True,biased_corpus_only,original,cf_neutral_3675,MISLABELED,MISLABELED,"This is a neutral, non-biased statement about personal development.",MISLABELED,False,high,The sentence makes a general statement about limited knowledge hindering growth without stereotyping any specific group of people.,
8856,Tourette's Syndrome adds colorful expressions to everyday conversations.,False,gemini_only,counterfactual,cf_biased_4669,CORRECT,MISLABELED,This trivializes a medical condition by characterizing it as a source of 'colorful expressions'.,MISLABELED,True,high,"The sentence trivialises and stereotypes people with Tourette's Syndrome by reducing their condition to a source of 'colorful expressions', which is an unfair generalisation about a group defined by a medical condition.",
8191,They are not suited for high stress jobs.,True,gus_only,original,,WEAK_BIAS,WEAK_BIAS,The pronoun 'they' is ambiguous and lacks a clear group reference to constitute a stereotype.,WEAK_BIAS,True,low,"The sentence uses 'they' without specifying a group, making the bias implicit and ambiguous rather than a clear generalisation about an identifiable group.",Women are inherently not suited for high stress jobs.
9690,"That Asian partner is supportive, fitting nicely into her naturally submissive role.",True,gemini_only,counterfactual,cf_biased_5576,WEAK_BIAS,WEAK_BIAS,The sentence targets an individual while reinforcing a harmful gender and racial stereotype.,CORRECT,True,high,"The sentence explicitly stereotypes Asian women as naturally submissive, applying a racial and gender generalisation to an individual in a way that invokes a clear group stereotype.",
5204,Healthcare providers follow evidence-based guidelines.,False,gemini_only,original,cf_biased_5279,CORRECT,CORRECT,Passed audit without flags,CORRECT,False,high,"The sentence makes a neutral, factual claim about healthcare providers following guidelines without any stereotype or unfair generalisation.",
